labelIndex,modelLabel,scientificName,taxonClass
0,Abroscopus albogularis,Abroscopus albogularis,Aves
1,Abroscopus schisticeps,Abroscopus schisticeps,Aves
2,Abroscopus superciliaris,Abroscopus superciliaris,Aves
3,Aburria aburri,Aburria aburri,Aves
4,Acanthagenys rufogularis,Acanthagenys rufogularis,Aves
5,Acanthidops bairdi,Acanthidops bairdi,Aves
6,Acanthis cabaret,,
7,Acanthis flammea,Acanthis flammea,Aves
8,Acanthis hornemanni,,
9,Acanthisitta chloris,Acanthisitta chloris,Aves
10,Acanthiza apicalis,Acanthiza apicalis,Aves
11,Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,Aves
12,Acanthiza ewingii,Acanthiza ewingii,Aves
13,Acanthiza inornata,Acanthiza inornata,Aves
14,Acanthiza lineata,Acanthiza lineata,Aves
15,Acanthiza nana,Acanthiza nana,Aves
16,Acanthiza pusilla,Acanthiza pusilla,Aves
17,Acanthiza reguloides,Acanthiza reguloides,Aves
18,Acanthiza uropygialis,Acanthiza uropygialis,Aves
19,Acanthorhynchus superciliosus,Acanthorhynchus superciliosus,Aves
20,Acanthorhynchus tenuirostris,Acanthorhynchus tenuirostris,Aves
21,Accipiter badius,Tachyspiza badia,Aves
22,Accipiter bicolor,Astur bicolor,Aves
23,Accipiter cirrocephalus,Tachyspiza cirrocephala,Aves
24,Accipiter cooperii,Astur cooperii,Aves
25,Accipiter fasciatus,Tachyspiza fasciata,Aves
26,Accipiter gentilis,Astur gentilis,Aves
27,Accipiter gularis,Tachyspiza gularis,Aves
28,Accipiter hiogaster,Tachyspiza hiogaster,Aves
29,Accipiter melanoleucus,Astur melanoleucus,Aves
30,Accipiter minullus,Tachyspiza minulla,Aves
31,Accipiter nisus,Accipiter nisus,Aves
32,Accipiter novaehollandiae,Tachyspiza novaehollandiae,Aves
33,Accipiter poliogaster,Accipiter poliogaster,Aves
34,Accipiter soloensis,Tachyspiza soloensis,Aves
35,Accipiter striatus,Accipiter striatus,Aves
36,Accipiter superciliosus,Microspizias superciliosus,Aves
